,닉네임,태그,별점,작성일,발색력,지속력,수분감,피부타입,리뷰
0,혜요미,"복합성
봄웜톤",4,2021.12.11,보통이에요,예상보다 짧아요,보통이에요,건성에 좋아요,"📦제품상태
아..올리브영 온라인으로 시키는 물건들 처음 상태가
좀 별로인 경우가 많네요 제가 뽑기운이 없는건지?
지난번에 식물나라 톤업 선쿠션에도 지문묻어있고
퍼프에도 선크림 묻어있더니 얘도 이러네여..ㅋㅋㅋ
본품 겉면에 지문이 여기저기...왜 이러는걸까요
언박싱할 때 빤딱빤딱한 맛으로 뜯는건데 슬픕니당ㅠ

💭특징
커버력은 절대 기대하지마세욤..ㅎㅎㅎㅎ
이 쿠션 사시는 분들은 다 예상하시겠지만
어떻게 보면 요즘 톤업선쿠션이나 톤업크림보다도
없을 수 있을 것 같아요 다만 그런 제품들처럼
특유의 텁텁하게 올라오는? 그런 재질은 아니고
아주아주 묽은 파데가 아주아주 얇게
피부가 비치게 발려진다 정도로 생각하면 될 것 같아요
대신! 겹겹이 마니마니 꼼꼼하게 아주 정성스럽게 바르면!!!
어느정도까지는 커버됩니당 바르면 피부가 편안하긴 해요~
마스크도 마니 안묻어나고ㅎ
그리고 색상 궁금하실텐데 제가 목색이랑 얼굴색
차이나는게 싫어서 보통 23호 쓰는데
얘는 올려도 잘 티가 안난다고 해서
일부러 1호 순수로 샀거든요ㅋ
근데 제가 피부가 노란편이어서 그런진 몰라도
막 맑게? 뽀얗게 핑크핑크 이런 느낌은 아니어서
아쉬웠어요ㅜㅜ 차라리 1.5 맑음을 샀으면 나았을라나..
그리고 시간지나면 약간의 끼임은 있습니당
그래서 그런지 지속력이 좋다고 해야되는건가~아닌가~
그거는 모르겠어요 수정 화장은 해줘야할 것 같아요
남편이 화장 안한 얼굴이랑 비슷하다고 해서 슬펐어서..히히
아직 쓴지 얼마안되서 잘쓰는 방법을 더 찾아봐야겠지만
써본 후기 제 주관적으로 솔직하게 썼습니당 정말~~
참고하세여!ㅜㅜ

👍🏻추천
-피부 완전 좋은 분
-갑갑하게 올라오는거 싫은 분
-화장 구찮아서 가볍게 쿠션만 팡팡하고싶은 분
-케이스 이쁜거 좋아하시는 분

👎🏻비추천
-지성 피부, 트러블 피부이신 분
-커버력 원하시는 분
-가성비 원하시는 분(리필없음.......)
-케이스 무거운거 싫어하시는 분"
1,숑댕,스킨케어 분야 탑리뷰어,5,2021.11.23,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"미 제품 미쳤어요
저는 여기에 정착하려규요
리뷰에 가격이 비싸다는 글이 많던데 저는 넘 만족스러워서 이 가격에도 재구매 의사 있어용 😂🧡❤️

저는 정말 악건성 피부예요!! 그래서 에이지투웨니⭐️ 사용했었는데 그 제품 에센스 들어있어서 굉장히 촉촉하게 발리거든요 ㅎㅎ 근데 마스크 쓰니까 넘. 묻어나오고 ㅠㅠ그래서 마스크에 안묻어난다규 광고하는 에이⭐️릴 스킨꺼 사봤는데 그건 또 건조하고 마스크에 안묻어나규 ㅠㅠ

코시국에 화장할 운명이 아닌가보다 하고 있었는데 어뮤즈 쿠션을 알게되었어요!!! 이거 정말 물건입니다

앞으로 제 쿠션 원픽은 어뮤즈 듀 젤리 비건쿠션이예요
❤️마스크 묻어남 없이 촉촉한 쿠션❤️
딱 제가 찾던 제품이예요 ㅠㅠ 
광나면서 은은하게 피부 표현이 되어서 맑고 투명하고 쿠션 이름 그대로 순수라는 말이 딱 어울리게 피부화장이 되어요

마스크에 묻어남이 없어서 화장할때 픽싱이 빨리 되나? 하는데 그거도 아니예요! 메이크업 초보분들 여러번 팡팡 두들겨수 발라줘도 될 만큼 픽싱이 빨리 되지 않ㅇㅏ서 화장하기 쉽답니당 ㅎㅎ

피부 화장 지속력도 짱입니다
무너짐이 거의 없어요 퇴근하고 집에 오면 조금 번진정도?? 
근데 그거도 자연스럽고 예쁘게 무너져서 거의 티가 안나요

재구매의사 완전완전있어요 😘🧡"
2,여쿨라제품내줘,"지성
여름쿨톤
트러블
홍조",5,2021.12.13,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"🌸여쿨라이트 20호(밝은 21호)🌸

어며들었다..😲
이러다간 듀틴트까지 구매할 것 같아요
섀도우도 맘에 들었는데 이것도 매우 만족했어요ㅠㅜ
재구매 의사 완전 있음!

일단 저는 수분부족지성 피부인데요..!

그래서 그런지 특히 볼주위피부에 당김이 안느껴졌어요!
매트쿠션 쓰면 뜨는 사람.. 저뿐인가요?
확실히 글로우라 그런지 뜨는 느낌이 덜했어요! 
수분이 많다 보니까 쿨링감이 많이 느껴져서 수정화장용으로도 좋겠네요!

컬러는 핑크빛이 도는 예쁜 피부표현이 가능해요!
커버력 높은 쿠션을 바르기엔 부담스럽고 안바르기엔 애매한 요즘에는 톤업쿠션보다도 이게 만족스럽더라구요

근데 막상 손목에 발색하니까 티가 안나서 놀랐어욬ㅋ
손목, 손등에는 티 안나도 얼굴에 올리면 광, 톤업이 안색을 맑아보이게 해주더라구요

생얼같아 보이는데 평소보다 예뻐보여요 확실히
색깔도 혈색이 좋아보여서 좋아요 진짜ㅠㅠ 컬러 넘 예쁜거 아니냐고ㅠㅠ 진짜 뻥 안치고 안색이 좋아보임 나도 놀람

개인적으로 단점!! 홍조가 심해서 컨실러는 필수였어요
확실히 글로우 표현에 집중한 쿠션이라 그런지 커버력은 없다시피 하네용 쌓으면 쌓이긴 해요 그래도 컨실러는 필수

👍추천: 피부 좋으신 분, 건성 수부지 피부, 겨울 쿠션 찾는 분, 피부화장이 부담스러울 때 

👎비추: 완벽한 피부표현 원하시는 분, 지성 피부"
3,ho****,"지성
웜톤
모공
블랙헤드",5,2021.12.16,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"젤리쿠션이라 그런지 수분감과 쿨링이 아주 맘에 드네요! 얇게 올라가서 스킨케어하는 기분이 들었어요.
정말 피부결 자체가 좋아보여 지성임에도 최대한 파우더를 적게 사용해서 다니고 있어요!  이건 광이 생명인 쿠션입니다!!
(아래 사진은 트러블+붉은 자국 많은 피부가 한겹 파르고 파우더로 얇게 발랐을 때입니다. 색보다는 커버 확인해주세요)

* 수분부족 지성피부, 21~22호 피부톤, 여드름 피부(민감성x)

*장점
1. 얇고 가볍게 올라감
2. 수분감이 있어서 바를 때 시원함
3. 마치 피부결 좋은 생얼로 표현됨
4. 촉촉한데 생각보다 묻어남이 적음(파우더 한겹 얇게 바름)

*단점
1. 커버력 1도 없음(홍조만 조금 되는 정도)
2. 젤리망에 먼지 달라붙기 쉬움ㅠㅠ
3. 1.5호가 그나마 옐로우 베이스지만 그래도 핑크톤이 보임
4. 촉촉한 쿠션이지만 어느정도의 스킨케어를 해줘야 각질에 안끼게 화장 가능

*팁
1. 최소 지성피부는 얇게 브러쉬로 파우더 쓰시길 추천(마스크 때문에)
2. 먼지가 잘 붙는 제형이라 깨끗한 퍼프와 사용해주세요 먼지가 엄청 잘보입니다
3. 홍조나 트러블은 컨실러로 얇게, 완벽커버는 겸허히 포기하는 것도 좋아요.. 대신 피부결은 아주 쥑이게 보입니다."
4,yuriful,메이크업 분야 탑리뷰어,4,2021.11.03,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"21호 수부지💖
올라이브에서 구매했는데 배송 정말 빠르게 왔어요🤭
슬기 포토카드가 2장? 들어있었고요 :) 

☑️제형
처음보는 제형입니다
이름처럼 젤리제형이예요 엄청 촉촉하고 쫀득쫀득한 느낌이예요

☑️발림성
챱챱챱 발림성 너무 좋아요
아무리 덧발라도 뭉침없이 그대로랍니다

☑️커버
아쉽게도 커버는 잘 되지 않고, 피부가 투명하게 비쳐요,,
바르면 피부에 광이나는데, 젤리제형이 내 얼굴을 감싸나봐요🤭 붉은기가 커버안되는건 굉장히 난감했습니다

☑️픽싱/무너짐
천천히 픽싱되고. 그후엔 많이 묻어나지 않습니다.
약간 지워지는거 외에 딱히 무너짐이랄게 없습니다

건성분들께 굉장히 추천드리는 템이고요, 
저한테는 약간 어두웠어요..😭 그리고 리필이 없이 본품하나라는 것이 약간 놀래써요,,

아 그리고 제가 푹 눌러서 내용물이 많이 나와서 볼에 잠시 얹어두고 눈화장하고나서 챱챱해주려니 그새 굳었는지 막 그부분이 젤리덩어리처럼 되더니 밀리더라고요..😱
그때 경악해서 지우고 다시했지만,,
빠르게 챱챱 해주어야 할 것 같아요"
5,zoey1024,메이크업 분야 탑리뷰어,4,2021.12.24,보통이에요,보통이에요,보통이에요,건성에 좋아요,"✔처음 뜯었을 때 느낌은 케이스가 예쁘다!!!라는 생각이 먼저 들었구요. 그 다음은 생각보다 크다? 케이스가 다른 쿠션에 비하면 두껍고 크기가 커서 휴대에 좀 불편할 수도 있을것 같아요.

✔저는 21호를 주로 쓰는데 클리오 란제리 컬러정도가 화사하게 잘 맞는편이에요. 그래서 1호 순수를 선택했는데 잘 맞았어요.

✔미샤의 텐션팩트였나? 그거처럼 망이 있고 눌러쓰는데 젤리같은 질감이에요. 바르자마자 쿨링감이 느껴지고 촉촉하게 발려요. 메이크업한다기보단 기초 마무리 하나 더하는 느낌이에요.

✔얇게 발리고 광이 기름광이 아니라 수분광 느낌이여서 피부표현이 정말 예쁘게 돼요. 얇게 발리기 때문에 마스크에 묻어남도 적은 편이에요.

✔커버력은 정말 기대하시면 안되는 제품이에요. 잡티커버는 아예 안되고 붉은기는 심하지 않으면 어느정도 될 수 있는데 심하면 이것도 커버 안 될거에요. 사실 구매하기 전에 리뷰영상이나 많이 찾아봐서 커버력이 안 좋다는거 알고 있긴 했거든요. 그래도 얇게 올라가고 촉촉하게 발리고 매끈한 마무리감때문에 써보고 싶어서 샀어요. 

✔저도 잡티 꽤 있고 붉은기도 있는데 그냥 가볍게 바르고 다니기 좋아서 잘 사용할것 같아요. 메이크업이 정말 필요한 날이면 다른쿠션이나 컨실러를 쓰겠지만요.

✔건성피부이거나 나 피부 깨끗하고 자신있어 이신 분들이 정말 잘 사용하실것 같아요. 커버력 포기 못하시는분들은 이 제품은 추천하지 않아요. 그래도 써보고 싶으신 분들은 컨실러 필수에요."
6,쟤짱,"건성
쿨톤
각질
모공",5,2021.12.22,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"샤* 레베쥬 저렴이로 유명한 쿠션이라 너무 궁금해서 기존에 사용하고 있는 쿠션도 있는데 궁금해서 구입했어요
요새는 거의 입* 쿠션만 사용하는데 겨울이라 조금 더 촉촉한 쿠션이 좋을거 같고 레베쥬 쿠션을 기존에 잘 사용해서 너무 기대되는 제품이였어요 우선 케이스가 레몬컬러로 컬러는 참 예쁜데 쿠션크기가 있어서 수정용으로 들고 다니긴 좀 불편할거같다는 생각이 들었어요 케이스 크기는 좀 수정이 필요할거 같습니다 어뮤즈 관계자분들!! 우선 제 피부는 잡티 거의없고 피부결이 좋은편이라 커버력 있는 쿠션은 사용 거의 안하고 내 피부같이 자연스럽게 살짝 화사해지는 촉촉한 쿠션을 좋아하는데 젤리쿠션이 딱 그런 느낌이에요 내 피부같은 자연스러운 톤업으로 촉촉하고 피부표현 예쁘게 되요 쿨링감도 느껴져서 마음에 들었어요 건성피부에 아주 적합한 촉촉쿠션이에요!!!! 커버력 상관없이 이쁜 피부표현 광나는 피부표현 좋아하는 건성분들 꼭 사세요 너무너무 좋아요!!"
7,mo****,"복합성
쿨톤
모공
블랙헤드",5,2021.12.16,아주 만족해요,예상보다 짧아요,아주 촉촉해요,복합성에 좋아요,"ㅎㅎㅎ 이거 진짜 물건이에요 너무 좋음
평소 선호하는 유형 : 촉촉한거 무조건 광나는거 , 얇은 제형(파데 안씀 , 선크림이나 톤업쿠션 정도 선호) , 답답하지 않을것.
이 모든 조건을 만족하는 제품입니다.
젤리 같은 타입이라 얼굴에 톡 올리면 시원하고 얇게 올라가는데 그때 기분 진짜 좋더라구요 ㅠ
한가지 아쉬운건 생각보다 광유지가 오래되지 않는것? 마스크 안쓰고 있었는데도 그랬어요.
뽀송한 선크림(차앤백)이랑 궁합해서 썼을때는 그랬는데 다음번에는 광나는 촉촉한 선크림이랑 테스트 해보려구요. 
이런식으로 계속 테스트 해가면서 최고의 조합을 찾아보려고 합니다. 어떤 식으로 스킨케어 하느냐에 따라 지속력은 물론 피부표현 달라지는거 아시죠? 다들 있는 제품 활용합시다 저는 이거 제품 다쓰면 무조건 재구매할듯 케이스 디자인이랑 크기 왕큰거가 단점인데 이정도는 뭐 어뮤즈에서 차차 발전시키겠죠 차라리 하얀색에 투명으로 해도 괜찮을 걱 같네요. 수정용으로도 너무 좋아서 당분간 데일리는 너다"
8,thfls****,"건성
봄웜톤
민감성
잡티",5,2021.12.27,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"처음에 사용했을땐 피부 커버가 거의 안되는 것 같아서 놀랐어요 ㅎㅎ 하지만 점점 사용하면 할 수록 만족스러운 제품이라 별 5개 입니다. 피부가 건강해보여서 피부컨디션이 좋을 때 사용하면 너무 좋습니다!

*색상 : 밝은 핑크색이예요! 얼굴이 붉은기도 많고 홍조도 있어서 핑크보다는 밝은 상아색을 선호하는 편인데도 괜찮았어요. 오히려 밝은 핑크라 얼굴이 더 밝아보이고 생기 있어보여서 생각보다 잘 쓰고 있습니다.

*사용감 : 아주 아주 촉촉한 타입입니다. 최근 코로나로 인해 마스크를 쓰다보니, 악건성이라 무조건 촉촉만 외치던 저도 매트한 화장품을 많이 썼어요. 오랜만에 촉촉한 쿠션 쓰니 너무 좋아요ㅎㅎ 

*커버력 : 커버력은 기대하시면 안됩니다... ㅎㅎ 처음 피부에 올렸을 땐 이게 뭐지 싶을 정도로 얇고 촉촉해서 커버력이 거의 없다고 느꼈어요. 그래서인지 오히려 건강한 피부 느낌을 표현해줘서 만족스럽습니다!! 잡티가 있으신 분들은 컨실러가 필수인 쿠션입니다.
- 피부화장이 오래갔으면 좋겠을 때 (X)
- 술 마실 때 (X)
- 간단하게 외출하는 날 (O)
- 피부 컨디션이 좋은 날 (O)

*마스크 묻어남 : 신기하게 안묻어나요! 얇고 촉촉해서 다 벗겨질 줄 알았는데 오히려 커버가 잘되는 파운데이션이나 쿠션보다 묻어남도 없고 벗겨지지도 않습니다."
9,올리브가좋아,"복합성
쿨톤
트러블",5,2021.12.14,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"진짜 쿠션 유목민이라서 이것저것 많이 사용해봤는데 그중에 제일 맘에 드는 제품이에요!!  건성이라서 커버력보다 무조건 예쁜 피부표현이 중요한데 딱 이제품이 그렇다라구요. 무너짐도 예쁘고 촉촉하게 광이나서 정말 피부가 좋아보여요. 다른제품은 바르고난 직후에는 촉촉함이 느껴질진 몰라도 시간이나서 보면 피부가 메말라서 뜨고 얼룩덜룩 더러워보였거든요 .. 화장 지운후가 더 나아보일정도..  그래서 정말 쿠션 고를때 고민이 많았는데 여기저기 검색해보니 모두가 입을모아 스킨케어처럼 촉촉하다고 하더라구요! 믿고 구매하기 정말 잘했어요 ㅠㅠ 이제 드디어 정착했습니다,, 단점은 커버력이 낮고 가격이 비싼점인데 할인도 많이 안되더라구요.. 가격은 정말 아쉬워요 ㅠㅠ 커버력은 정말 가려야할곳만 컨실러 올려두고 말린후에 쿠션 팡팡하면 완벽하구요 ㅎㅎ 커버력이 중요한 분들은 추천하지않아요~ 건성피부에 물광피부표현 좋아하시는 분들 겨울철에 완전 추천드립니다!!"
